Date,Year,Month,Day,Quarter,Weekday,WeekOfYear,IsWeekend,IsHoliday,MonthName,DayName
2020-01-01,2020,1,1,1,2,1,0,0,January,Wednesday
2020-01-02,2020,1,2,1,3,1,0,0,January,Thursday
2020-01-03,2020,1,3,1,4,1,0,0,January,Friday
2020-01-04,2020,1,4,1,5,1,1,0,January,Saturday
2020-01-05,2020,1,5,1,6,1,1,0,January,Sunday
2020-01-06,2020,1,6,1,0,2,0,0,January,Monday
2020-01-07,2020,1,7,1,1,2,0,0,January,Tuesday
2020-01-08,2020,1,8,1,2,2,0,0,January,Wednesday
2020-01-09,2020,1,9,1,3,2,0,0,January,Thursday
2020-01-10,2020,1,10,1,4,2,0,0,January,Friday
2020-01-11,2020,1,11,1,5,2,1,0,January,Saturday
2020-01-12,2020,1,12,1,6,2,1,0,January,Sunday
2020-01-13,2020,1,13,1,0,3,0,0,January,Monday
2020-01-14,2020,1,14,1,1,3,0,0,January,Tuesday
2020-01-15,2020,1,15,1,2,3,0,0,January,Wednesday
2020-01-16,2020,1,16,1,3,3,0,0,January,Thursday
2020-01-17,2020,1,17,1,4,3,0,0,January,Friday
2020-01-18,2020,1,18,1,5,3,1,0,January,Saturday
2020-01-19,2020,1,19,1,6,3,1,0,January,Sunday
2020-01-20,2020,1,20,1,0,4,0,0,January,Monday
2020-01-21,2020,1,21,1,1,4,0,0,January,Tuesday
2020-01-22,2020,1,22,1,2,4,0,0,January,Wednesday
2020-01-23,2020,1,23,1,3,4,0,0,January,Thursday
2020-01-24,2020,1,24,1,4,4,0,0,January,Friday
2020-01-25,2020,1,25,1,5,4,1,0,January,Saturday
2020-01-26,2020,1,26,1,6,4,1,0,January,Sunday
2020-01-27,2020,1,27,1,0,5,0,0,January,Monday
2020-01-28,2020,1,28,1,1,5,0,0,January,Tuesday
2020-01-29,2020,1,29,1,2,5,0,0,January,Wednesday
2020-01-30,2020,1,30,1,3,5,0,0,January,Thursday
2020-01-31,2020,1,31,1,4,5,0,0,January,Friday
2020-02-01,2020,2,1,1,5,5,1,0,February,Saturday
2020-02-02,2020,2,2,1,6,5,1,0,February,Sunday
2020-02-03,2020,2,3,1,0,6,0,0,February,Monday
2020-02-04,2020,2,4,1,1,6,0,0,February,Tuesday
2020-02-05,2020,2,5,1,2,6,0,0,February,Wednesday
2020-02-06,2020,2,6,1,3,6,0,0,February,Thursday
2020-02-07,2020,2,7,1,4,6,0,0,February,Friday
2020-02-08,2020,2,8,1,5,6,1,0,February,Saturday
2020-02-09,2020,2,9,1,6,6,1,0,February,Sunday
2020-02-10,2020,2,10,1,0,7,0,0,February,Monday
2020-02-11,2020,2,11,1,1,7,0,0,February,Tuesday
2020-02-12,2020,2,12,1,2,7,0,0,February,Wednesday
2020-02-13,2020,2,13,1,3,7,0,0,February,Thursday
2020-02-14,2020,2,14,1,4,7,0,0,February,Friday
2020-02-15,2020,2,15,1,5,7,1,0,February,Saturday
2020-02-16,2020,2,16,1,6,7,1,0,February,Sunday
2020-02-17,2020,2,17,1,0,8,0,0,February,Monday
2020-02-18,2020,2,18,1,1,8,0,0,February,Tuesday
2020-02-19,2020,2,19,1,2,8,0,0,February,Wednesday
2020-02-20,2020,2,20,1,3,8,0,0,February,Thursday
2020-02-21,2020,2,21,1,4,8,0,0,February,Friday
