Date,Year,Month,Day,Quarter,Weekday,WeekOfYear,IsWeekend,IsHoliday,MonthName,DayName
2000-01-01,2000,1,1,1,5,52,1,0,January,Saturday
2000-01-02,2000,1,2,1,6,52,1,0,January,Sunday
2000-01-03,2000,1,3,1,0,1,0,0,January,Monday
2000-01-04,2000,1,4,1,1,1,0,0,January,Tuesday
2000-01-05,2000,1,5,1,2,1,0,0,January,Wednesday
2000-01-06,2000,1,6,1,3,1,0,0,January,Thursday
2000-01-07,2000,1,7,1,4,1,0,0,January,Friday
2000-01-08,2000,1,8,1,5,1,1,0,January,Saturday
2000-01-09,2000,1,9,1,6,1,1,0,January,Sunday
2000-01-10,2000,1,10,1,0,2,0,0,January,Monday
2000-01-11,2000,1,11,1,1,2,0,0,January,Tuesday
2000-01-12,2000,1,12,1,2,2,0,0,January,Wednesday
2000-01-13,2000,1,13,1,3,2,0,0,January,Thursday
2000-01-14,2000,1,14,1,4,2,0,0,January,Friday
2000-01-15,2000,1,15,1,5,2,1,0,January,Saturday
2000-01-16,2000,1,16,1,6,2,1,0,January,Sunday
2000-01-17,2000,1,17,1,0,3,0,0,January,Monday
2000-01-18,2000,1,18,1,1,3,0,0,January,Tuesday
2000-01-19,2000,1,19,1,2,3,0,0,January,Wednesday
2000-01-20,2000,1,20,1,3,3,0,0,January,Thursday
2000-01-21,2000,1,21,1,4,3,0,0,January,Friday
2000-01-22,2000,1,22,1,5,3,1,0,January,Saturday
2000-01-23,2000,1,23,1,6,3,1,0,January,Sunday
2000-01-24,2000,1,24,1,0,4,0,0,January,Monday
2000-01-25,2000,1,25,1,1,4,0,0,January,Tuesday
2000-01-26,2000,1,26,1,2,4,0,0,January,Wednesday
2000-01-27,2000,1,27,1,3,4,0,0,January,Thursday
2000-01-28,2000,1,28,1,4,4,0,0,January,Friday
2000-01-29,2000,1,29,1,5,4,1,0,January,Saturday
2000-01-30,2000,1,30,1,6,4,1,0,January,Sunday
2000-01-31,2000,1,31,1,0,5,0,0,January,Monday
2000-02-01,2000,2,1,1,1,5,0,0,February,Tuesday
2000-02-02,2000,2,2,1,2,5,0,0,February,Wednesday
2000-02-03,2000,2,3,1,3,5,0,0,February,Thursday
2000-02-04,2000,2,4,1,4,5,0,0,February,Friday
2000-02-05,2000,2,5,1,5,5,1,0,February,Saturday
2000-02-06,2000,2,6,1,6,5,1,0,February,Sunday
2000-02-07,2000,2,7,1,0,6,0,0,February,Monday
2000-02-08,2000,2,8,1,1,6,0,0,February,Tuesday
2000-02-09,2000,2,9,1,2,6,0,0,February,Wednesday
2000-02-10,2000,2,10,1,3,6,0,0,February,Thursday
2000-02-11,2000,2,11,1,4,6,0,0,February,Friday
2000-02-12,2000,2,12,1,5,6,1,0,February,Saturday
2000-02-13,2000,2,13,1,6,6,1,0,February,Sunday
2000-02-14,2000,2,14,1,0,7,0,0,February,Monday
2000-02-15,2000,2,15,1,1,7,0,0,February,Tuesday
2000-02-16,2000,2,16,1,2,7,0,0,February,Wednesday
2000-02-17,2000,2,17,1,3,7,0,0,February,Thursday
2000-02-18,2000,2,18,1,4,7,0,0,February,Friday
2000-02-19,2000,2,19,1,5,7,1,0,February,Saturday
2000-02-20,2000,2,20,1,6,7,1,0,February,Sunday
2000-02-21,2000,2,21,1,0,8,0,0,February,Monday
2000-02-22,2000,2,22,1,1,8,0,0,February,Tuesday
2000-02-23,2000,2,23,1,2,8,0,0,February,Wednesday
2000-02-24,2000,2,24,1,3,8,0,0,February,Thursday
2000-02-25,2000,2,25,1,4,8,0,0,February,Friday
2000-02-26,2000,2,26,1,5,8,1,0,February,Saturday
2000-02-27,2000,2,27,1,6,8,1,0,February,Sunday
2000-02-28,2000,2,28,1,0,9,0,0,February,Monday
2000-02-29,2000,2,29,1,1,9,0,0,February,Tuesday
2000-03-01,2000,3,1,1,2,9,0,0,March,Wednesday
2000-03-02,2000,3,2,1,3,9,0,0,March,Thursday
2000-03-03,2000,3,3,1,4,9,0,0,March,Friday
2000-03-04,2000,3,4,1,5,9,1,0,March,Saturday
2000-03-05,2000,3,5,1,6,9,1,0,March,Sunday
