InventoryMovementKey,MovementDate,ProductN,UnitsIn,UnitsOut,UnitsBalance
1,2023-09-01,2,15,0,15
2,2023-09-01,2,0,7,8
3,2023-09-01,3,10,0,10
4,2023-09-01,3,0,5,5
5,2023-09-01,3,0,1,4
6,2023-09-01,3,0,4,0
7,2023-09-01,4,16,0,16
8,2023-09-01,4,0,6,10
9,2023-09-01,4,0,6,4
10,2023-09-01,5,16,0,16
11,2023-09-01,5,0,3,13
12,2023-09-01,7,10,0,10
13,2023-09-01,7,0,3,7
14,2023-09-01,7,0,1,6
15,2023-09-01,7,0,3,3
16,2023-09-01,8,11,0,11
17,2023-09-01,8,0,7,4
18,2023-09-01,8,0,4,0
19,2023-09-01,10,20,0,20
20,2023-09-01,10,0,7,13
21,2023-09-01,11,18,0,18
22,2023-09-01,12,10,0,10
23,2023-09-01,13,15,0,15
24,2023-09-01,13,0,1,14
25,2023-09-01,13,0,3,11
26,2023-09-01,14,17,0,17
27,2023-09-01,14,0,2,15
28,2023-09-01,14,0,6,9
29,2023-09-01,14,0,7,2
30,2023-09-01,14,0,2,0
31,2023-09-01,15,19,0,19
32,2023-09-01,15,0,6,13
33,2023-09-01,15,0,3,10
34,2023-09-01,15,0,4,6
35,2023-09-01,15,0,6,0
36,2023-09-01,16,15,0,15
37,2023-09-01,16,0,5,10
38,2023-09-01,16,0,2,8
39,2023-09-01,16,0,5,3
40,2023-09-01,17,16,0,16
41,2023-09-01,17,0,7,9
42,2023-09-01,17,0,1,8
43,2023-09-01,17,0,3,5
44,2023-09-01,17,0,4,1
45,2023-09-01,17,0,1,0
46,2023-09-01,18,15,0,15
47,2023-09-01,18,0,1,14
48,2023-09-01,18,0,7,7
49,2023-09-01,18,0,7,0
50,2023-09-01,20,18,0,18
51,2023-09-01,20,0,4,14
52,2023-09-01,20,0,4,10
53,2023-09-01,23,14,0,14
54,2023-09-01,24,15,0,15
55,2023-09-01,24,0,6,9
56,2023-09-01,24,0,3,6
57,2023-09-01,25,17,0,17
58,2023-09-01,27,12,0,12
59,2023-09-01,27,0,4,8
60,2023-09-01,27,0,3,5
61,2023-09-01,27,0,2,3
62,2023-09-01,29,18,0,18
63,2023-09-01,29,0,5,13
64,2023-09-01,31,20,0,20
65,2023-09-01,31,0,2,18
66,2023-09-01,31,0,5,13
67,2023-09-01,31,0,1,12
68,2023-09-01,31,0,6,6
69,2023-09-01,32,18,0,18
70,2023-09-01,32,0,4,14
71,2023-09-01,33,15,0,15
72,2023-09-01,33,0,2,13
73,2023-09-01,33,0,1,12
74,2023-09-01,33,0,6,6
75,2023-09-01,34,10,0,10
76,2023-09-01,34,0,1,9
77,2023-09-01,34,0,2,7
78,2023-09-01,34,0,6,1
79,2023-09-01,35,13,0,13
80,2023-09-01,35,0,2,11
81,2023-09-01,35,0,4,7
82,2023-09-01,35,0,2,5
83,2023-09-01,36,20,0,20
84,2023-09-01,36,0,5,15
85,2023-09-01,36,0,3,12
86,2023-09-01,36,0,4,8
87,2023-09-01,36,0,1,7
88,2023-09-01,38,12,0,12
89,2023-09-01,38,0,7,5
90,2023-09-01,38,0,2,3
91,2023-09-01,38,0,1,2
92,2023-09-01,38,0,2,0
93,2023-09-01,40,16,0,16
94,2023-09-01,40,0,6,10
95,2023-09-01,40,0,2,8
96,2023-09-01,50,15,0,15
97,2023-09-01,50,0,2,13
98,2023-09-01,50,0,6,7
99,2023-09-01,50,0,2,5
100,2023-09-01,50,0,4,1
101,2023-09-01,50,0,1,0
102,2023-09-01,52,10,0,10
103,2023-09-01,52,0,3,7
104,2023-09-01,53,17,0,17
105,2023-09-01,53,0,5,12
106,2023-09-01,53,0,3,9
107,2023-09-01,53,0,3,6
108,2023-09-01,53,0,4,2
109,2023-09-01,54,10,0,10
110,2023-09-01,54,0,7,3
111,2023-09-01,54,0,3,0
112,2023-09-01,58,16,0,16
113,2023-09-01,58,0,3,13
114,2023-09-01,58,0,6,7
115,2023-09-01,59,12,0,12
116,2023-09-01,59,0,7,5
117,2023-09-01,59,0,4,1
118,2023-09-01,59,0,1,0
119,2023-09-01,60,12,0,12
120,2023-09-01,60,0,2,10
121,2023-09-01,63,14,0,14
122,2023-09-01,63,0,3,11
123,2023-09-01,63,0,6,5
124,2023-09-01,64,19,0,19
125,2023-09-01,65,10,0,10
126,2023-09-01,65,0,3,7
127,2023-09-01,65,0,2,5
128,2023-09-01,69,19,0,19
129,2023-09-01,69,0,3,16
130,2023-09-01,69,0,4,12
131,2023-09-01,69,0,3,9
132,2023-09-01,69,0,2,7
133,2023-09-01,70,16,0,16
134,2023-09-01,70,0,6,10
135,2023-09-01,70,0,3,7
136,2023-09-01,70,0,7,0
137,2023-09-01,74,18,0,18
138,2023-09-01,74,0,2,16
139,2023-09-01,75,15,0,15
140,2023-09-01,75,0,4,11
141,2023-09-01,76,14,0,14
142,2023-09-01,77,13,0,13
143,2023-09-01,78,14,0,14
144,2023-09-01,79,15,0,15
145,2023-09-01,79,0,1,14
146,2023-09-01,79,0,2,12
147,2023-09-01,79,0,7,5
148,2023-09-01,80,17,0,17
149,2023-09-01,80,0,4,13
150,2023-09-01,80,0,4,9
151,2023-09-01,80,0,6,3
152,2023-09-01,84,13,0,13
153,2023-09-01,84,0,5,8
154,2023-09-01,86,17,0,17
155,2023-09-01,86,0,7,10
156,2023-09-01,86,0,6,4
157,2023-09-01,86,0,4,0
158,2023-09-01,88,13,0,13
159,2023-09-01,88,0,2,11
160,2023-09-01,88,0,7,4
161,2023-09-01,88,0,1,3
162,2023-09-01,88,0,3,0
163,2023-09-01,89,17,0,17
164,2023-09-01,89,0,6,11
165,2023-09-01,89,0,6,5
166,2023-09-01,89,0,5,0
167,2023-09-01,91,19,0,19
168,2023-09-01,91,0,1,18
169,2023-09-01,91,0,7,11
170,2023-09-01,91,0,2,9
171,2023-09-01,94,11,0,11
172,2023-09-01,94,0,1,10
173,2023-09-01,94,0,4,6
174,2023-09-01,95,17,0,17
175,2023-09-01,96,19,0,19
176,2023-09-01,96,0,4,15
177,2023-09-01,97,14,0,14
178,2023-09-01,97,0,4,10
179,2023-09-01,97,0,2,8
180,2023-09-01,100,11,0,11
181,2023-09-01,100,0,3,8
182,2023-09-01,100,0,7,1
183,2023-09-01,103,13,0,13
184,2023-09-01,103,0,5,8
185,2023-09-01,103,0,3,5
186,2023-09-01,103,0,2,3
187,2023-09-01,103,0,3,0
188,2023-09-01,104,20,0,20
189,2023-09-01,104,0,6,14
190,2023-09-01,104,0,5,9
191,2023-09-01,106,17,0,17
192,2023-09-01,106,0,3,14
193,2023-09-01,107,11,0,11
194,2023-09-01,107,0,5,6
195,2023-09-01,107,0,3,3
196,2023-09-01,107,0,3,0
197,2023-09-01,108,17,0,17
198,2023-09-01,108,0,5,12
199,2023-09-01,108,0,1,11
200,2023-09-01,111,10,0,10
201,2023-09-01,111,0,2,8
202,2023-09-01,111,0,4,4
203,2023-09-01,111,0,2,2
204,2023-09-01,111,0,2,0
205,2023-09-01,112,16,0,16
206,2023-09-01,112,0,5,11
207,2023-09-01,112,0,6,5
208,2023-09-01,112,0,5,0
209,2023-09-01,113,19,0,19
210,2023-09-01,113,0,7,12
211,2023-09-01,113,0,6,6
212,2023-09-01,113,0,6,0
213,2023-09-01,115,10,0,10
214,2023-09-01,118,19,0,19
215,2023-09-01,118,0,1,18
216,2023-09-01,119,16,0,16
217,2023-09-01,119,0,3,13
218,2023-09-01,119,0,4,9
219,2023-09-01,120,18,0,18
220,2023-09-01,122,12,0,12
221,2023-09-01,122,0,1,11
222,2023-09-01,122,0,2,9
223,2023-09-01,122,0,6,3
224,2023-09-01,122,0,1,2
225,2023-09-01,122,0,2,0
226,2023-09-01,123,20,0,20
227,2023-09-01,123,0,4,16
228,2023-09-01,123,0,7,9
229,2023-09-01,123,0,6,3
230,2023-09-01,123,0,3,0
231,2023-09-01,124,16,0,16
232,2023-09-01,124,0,4,12
233,2023-09-01,124,0,2,10
234,2023-09-01,124,0,6,4
235,2023-09-02,1,11,0,11
236,2023-09-02,1,0,3,8
237,2023-09-02,1,0,3,5
238,2023-09-02,1,0,1,4
239,2023-09-02,1,0,2,2
240,2023-09-02,1,0,2,0
241,2023-09-02,2,0,1,7
242,2023-09-02,2,0,1,6
243,2023-09-02,4,19,0,23
244,2023-09-02,4,0,3,20
245,2023-09-02,4,0,4,16
246,2023-09-02,4,0,2,14
247,2023-09-02,4,0,2,12
248,2023-09-02,4,0,1,11
249,2023-09-02,5,20,0,33
250,2023-09-02,5,0,4,29
251,2023-09-02,5,0,4,25
252,2023-09-02,5,0,2,23
253,2023-09-02,5,0,5,18
254,2023-09-02,5,0,3,15
255,2023-09-02,7,0,1,2
256,2023-09-02,7,0,2,0
