InventoryMovementKey,MovementDate,ProductN,UnitsIn,UnitsOut,UnitsBalance
1,2023-09-01,1,18,0,18
2,2023-09-01,1,0,4,14
3,2023-09-01,1,0,5,9
4,2023-09-01,3,18,0,18
5,2023-09-01,3,0,6,12
6,2023-09-01,3,0,5,7
7,2023-09-01,3,0,3,4
8,2023-09-01,3,0,4,0
9,2023-09-01,4,15,0,15
10,2023-09-01,4,0,2,13
11,2023-09-01,4,0,2,11
12,2023-09-01,4,0,7,4
13,2023-09-01,4,0,1,3
14,2023-09-01,4,0,3,0
15,2023-09-01,5,15,0,15
16,2023-09-01,5,0,7,8
17,2023-09-01,5,0,4,4
18,2023-09-01,9,14,0,14
19,2023-09-01,9,0,7,7
20,2023-09-01,9,0,3,4
21,2023-09-01,9,0,1,3
22,2023-09-01,9,0,3,0
23,2023-09-01,10,20,0,20
24,2023-09-01,10,0,3,17
25,2023-09-01,10,0,3,14
26,2023-09-01,10,0,7,7
27,2023-09-01,10,0,2,5
28,2023-09-01,10,0,5,0
29,2023-09-01,13,19,0,19
30,2023-09-01,13,0,2,17
31,2023-09-01,17,15,0,15
32,2023-09-01,17,0,6,9
33,2023-09-01,17,0,4,5
34,2023-09-01,17,0,4,1
35,2023-09-01,17,0,1,0
36,2023-09-01,19,19,0,19
37,2023-09-01,19,0,6,13
38,2023-09-01,22,16,0,16
39,2023-09-01,22,0,1,15
40,2023-09-01,22,0,6,9
41,2023-09-01,27,10,0,10
42,2023-09-01,31,11,0,11
43,2023-09-01,31,0,2,9
44,2023-09-01,31,0,3,6
45,2023-09-01,31,0,2,4
46,2023-09-01,31,0,2,2
47,2023-09-01,31,0,2,0
48,2023-09-01,32,20,0,20
49,2023-09-01,32,0,2,18
50,2023-09-01,32,0,6,12
51,2023-09-01,32,0,1,11
52,2023-09-01,32,0,1,10
53,2023-09-01,37,15,0,15
54,2023-09-01,37,0,4,11
55,2023-09-01,37,0,2,9
56,2023-09-01,37,0,7,2
57,2023-09-01,37,0,2,0
58,2023-09-01,39,11,0,11
59,2023-09-01,39,0,2,9
60,2023-09-01,44,11,0,11
61,2023-09-01,46,20,0,20
62,2023-09-01,46,0,4,16
63,2023-09-01,46,0,4,12
64,2023-09-01,46,0,6,6
65,2023-09-01,46,0,1,5
66,2023-09-01,49,19,0,19
67,2023-09-01,51,10,0,10
68,2023-09-01,59,19,0,19
69,2023-09-01,59,0,4,15
70,2023-09-01,59,0,4,11
71,2023-09-01,59,0,3,8
72,2023-09-01,59,0,2,6
73,2023-09-01,59,0,3,3
74,2023-09-01,60,10,0,10
75,2023-09-01,60,0,2,8
