InventoryMovementKey,MovementDate,ProductN,UnitsIn,UnitsOut,UnitsBalance
1,2017-01-01,1,18,0,18
2,2017-01-01,3,11,0,11
3,2017-01-01,3,0,1,10
4,2017-01-01,6,12,0,12
5,2017-01-01,8,12,0,12
6,2017-01-01,10,15,0,15
7,2017-01-01,10,0,2,13
8,2017-01-01,11,17,0,17
9,2017-01-01,11,0,2,15
10,2017-01-01,13,12,0,12
11,2017-01-01,13,0,1,11
12,2017-01-01,18,16,0,16
13,2017-01-01,19,14,0,14
14,2017-01-01,21,11,0,11
15,2017-01-01,21,0,1,10
16,2017-01-01,24,17,0,17
17,2017-01-01,24,0,1,16
18,2017-01-01,26,18,0,18
19,2017-01-01,26,0,1,17
20,2017-01-01,27,16,0,16
21,2017-01-01,29,14,0,14
22,2017-01-01,29,0,2,12
23,2017-01-01,32,12,0,12
24,2017-01-01,33,13,0,13
25,2017-01-01,33,0,1,12
26,2017-01-01,36,18,0,18
27,2017-01-01,36,0,2,16
28,2017-01-01,37,12,0,12
29,2017-01-01,37,0,1,11
30,2017-01-01,39,19,0,19
31,2017-01-01,39,0,1,18
32,2017-01-01,43,19,0,19
33,2017-01-01,43,0,1,18
34,2017-01-01,51,14,0,14
35,2017-01-01,52,15,0,15
36,2017-01-01,55,19,0,19
37,2017-01-01,55,0,2,17
38,2017-01-01,57,13,0,13
39,2017-01-01,58,18,0,18
40,2017-01-01,59,14,0,14
41,2017-01-01,59,0,1,13
42,2017-01-01,60,15,0,15
43,2017-01-01,61,12,0,12
44,2017-01-01,61,0,2,10
45,2017-01-01,62,20,0,20
46,2017-01-01,64,18,0,18
47,2017-01-01,65,14,0,14
48,2017-01-01,66,16,0,16
49,2017-01-01,68,14,0,14
50,2017-01-01,68,0,1,13
51,2017-01-01,71,19,0,19
52,2017-01-01,71,0,2,17
53,2017-01-01,73,11,0,11
54,2017-01-01,73,0,1,10
55,2017-01-01,74,11,0,11
56,2017-01-01,77,14,0,14
57,2017-01-01,77,0,1,13
58,2017-01-01,78,20,0,20
59,2017-01-01,78,0,2,18
60,2017-01-01,78,0,1,17
61,2017-01-01,79,17,0,17
62,2017-01-01,80,15,0,15
63,2017-01-01,81,11,0,11
64,2017-01-01,81,0,3,8
65,2017-01-01,85,20,0,20
66,2017-01-01,85,0,1,19
67,2017-01-01,85,0,1,18
68,2017-01-01,86,20,0,20
69,2017-01-01,86,0,1,19
70,2017-01-01,90,15,0,15
71,2017-01-01,90,0,3,12
