product_id,product_name,product_season
1,SolSommarVentil,Summer
2,BatteriGrillBevattning,Summer
3,SommarPumpPool,Summer
4,ReläFläktVärme,Summer
5,SommarMotorBevattning,Summer
6,SolGrillResistor,Summer
7,FläktSolTransformator,Summer
8,BevattningPumpVärme,Summer
9,BevattningFläktSkärm/Display,Summer
10,FläktBevattningAnslutningar,Summer
11,GrillKondensatorVärme,Summer
12,SensorSommarKonditionering,Summer
13,KonditioneringVentilFläkt,Summer
14,VärmeGrillDriftsystem,Summer
15,SolKonditioneringAutomatisering,Summer
16,KonditioneringBevattningLED,Summer
17,TransformatorBevattningSol,Summer
18,FläktKondensatorPool,Summer
19,FläktStrömbrytareKonditionering,Summer
20,FläktPoolPump,Summer
21,VentilPoolKonditionering,Summer
22,SommarSolKrets,Summer
23,FläktVärmeLED,Summer
24,SolBevattningBatteri,Summer
25,PoolGrillVäxellåda,Summer
26,AxelUppvärmningSkörd,Fall
27,HöstAutomatiseringVind,Fall
28,VindAxelUppvärmning,Fall
29,BatteriHöstBeskärning,Fall
30,VindLövSkärm/Display,Fall
31,Skärm/DisplayLövblåsareLöv,Fall
32,SkördVindFläkt,Fall
33,DriftsystemLövUppvärmning,Fall
34,BeskärningKabelLöv,Fall
35,HöstSensorBeskärning,Fall
36,HöstVäxellådaUppvärmning,Fall
37,UppvärmningFuktighetTrådlöst,Fall
38,UppvärmningBeskärningKrets,Fall
39,HöstStrömbrytareLövblåsare,Fall
40,MotorBeskärningHöst,Fall
41,VindKretsFuktighet,Fall
42,VindFuktighetTransformator,Fall
43,DiagnosverktygSkördHöst,Fall
44,FuktighetVindFjärrkontroll,Fall
45,UppvärmningSkördKabel,Fall
46,VindBatteriUppvärmning,Fall
47,HöstLövDriftsystem,Fall
48,UppvärmningBeskärningStrömbrytare,Fall
49,VentilUppvärmningFuktighet,Fall
50,LövLEDUppvärmning,Fall
51,GräsBevattningKrets,Spring
52,VårBevattningFjärrkontroll,Spring
53,KretsRengöringKlippare,Spring
54,KabelSkottGräs,Spring
55,uftrenareDriftsystemBevattning,Spring
56,ProgrammeringuftrenareBevattning,Spring
57,RengöringPollenTransformator,Spring
58,KlippareVårRelä,Spring
59,uftrenareBevattningSkärm/Display,Spring
60,SkottKlippareFjärrkontroll,Spring
61,DriftsystemPollenGräs,Spring
62,BevattningResistoruftrenare,Spring
63,BevattningProgrammeringRengöring,Spring
64,RengöringSkärm/DisplayVår,Spring
65,RengöringGräsTrådlöst,Spring
66,BevattningAnslutningaruftrenare,Spring
67,GräsPumpKlippare,Spring
68,ResistorSkottVår,Spring
69,GräsTransformatoruftrenare,Spring
70,BevattningVäxellådaGräs,Spring
71,BevattningVårPump,Spring
72,VårRengöringDriftsystem,Spring
73,AutomatiseringuftrenareKlippare,Spring
74,VårVäxellådaKlippare,Spring
75,MotorBevattningVår,Spring
76,BelysningInomhusKabel,Winter
77,IsVärmareDriftsystem,Winter
78,ReläSlungaVärmare,Winter
79,JulSkärm/DisplayVärmare,Winter
80,SnöLEDSlunga,Winter
81,StrömbrytareIsBelysning,Winter
82,IsSnöSkärm/Display,Winter
83,InomhusElfiltStrömbrytare,Winter
84,MikrokontrollerElfiltIs,Winter
85,BelysningMikrokontrollerIs,Winter
86,BelysningInomhusKabel,Winter
87,SnöVärmareMotor,Winter
88,BelysningElfiltResistor,Winter
89,SnöBelysningKabel,Winter
90,PumpSlungaIs,Winter
91,SnöAxelIs,Winter
92,JulTransformatorElfilt,Winter
93,ElfiltKondensatorVärmare,Winter
94,KabelElfiltSlunga,Winter
95,ElfiltJulVäxellåda,Winter
96,ElfiltJulPump,Winter
97,KabelBelysningIs,Winter
98,BelysningKretsElfilt,Winter
99,IsSnöTrådlöst,Winter
100,SnöBelysningResistor,Winter
101,AnslutningarAutomatiseringKrets,General
102,MikrokontrollerAnslutningarMotor,General
103,TransformatorTrådlöstVentil,General
104,DiagnosverktygVentilVäxellåda,General
105,PumpResistorKrets,General
106,BatteriFjärrkontrollMotor,General
107,MotorKretsVäxellåda,General
108,MikrokontrollerTrådlöstKrets,General
109,TransformatorFjärrkontrollKondensator,General
110,LEDDiagnosverktygAnslutningar,General
111,KondensatorStrömbrytareMotor,General
112,TransformatorReläProgrammering,General
113,BatteriTransformatorMotor,General
114,VäxellådaFjärrkontrollPump,General
115,AnslutningarAutomatiseringRelä,General
116,AxelKondensatorFjärrkontroll,General
117,KabelDiagnosverktygStrömbrytare,General
118,FläktVentilDriftsystem,General
119,DiagnosverktygSensorRelä,General
120,Skärm/DisplaySensorPump,General
121,MikrokontrollerVäxellådaTransformator,General
122,TrådlöstAnslutningarTrådlöst,General
123,LEDAnslutningarRelä,General
124,PumpVentilAxel,General
125,DiagnosverktygAxelFjärrkontroll,General
